[INFO] [1776169137.902294752] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.6 ms | preprocess=4.1 ms | infer=125.4 ms | post=38.1 ms | fps_avg=5.97 | fps_out=5.92 | last_total=168.6 ms | last_infer=126.3 ms | processed=1218 | rgb_rx=1283 | tir_rx=1295 | dropped=138 | cuda_mem=1008/1780 MB
[INFO] [1776169142.982515849] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.5 ms | preprocess=4.1 ms | infer=125.3 ms | post=38.1 ms | fps_avg=5.97 | fps_out=5.91 | last_total=167.4 ms | last_infer=125.3 ms | processed=1248 | rgb_rx=1314 | tir_rx=1326 | dropped=140 | cuda_mem=1008/1780 MB
[INFO] [1776169148.044407494] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.3 ms | preprocess=4.1 ms | infer=125.3 ms | post=38.0 ms | fps_avg=5.98 | fps_out=5.93 | last_total=167.8 ms | last_infer=125.5 ms | processed=1278 | rgb_rx=1344 | tir_rx=1356 | dropped=140 | cuda_mem=1008/1780 MB
[INFO] [1776169153.156439060] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.6 ms | preprocess=4.1 ms | infer=125.6 ms | post=38.0 ms | fps_avg=5.97 | fps_out=5.67 | last_total=168.5 ms | last_infer=126.4 ms | processed=1307 | rgb_rx=1377 | tir_rx=1390 | dropped=149 | cuda_mem=1008/1780 MB
[INFO] [1776169158.269041272] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.1 ms | preprocess=4.1 ms | infer=126.1 ms | post=37.9 ms | fps_avg=5.95 | fps_out=5.67 | last_total=167.6 ms | last_infer=126.1 ms | processed=1336 | rgb_rx=1407 | tir_rx=1424 | dropped=155 | cuda_mem=1008/1780 MB
[INFO] [1776169163.392994702] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.0 ms | preprocess=4.1 ms | infer=126.4 ms | post=37.5 ms | fps_avg=5.95 | fps_out=5.85 | last_total=168.6 ms | last_infer=126.5 ms | processed=1366 | rgb_rx=1438 | tir_rx=1455 | dropped=157 | cuda_mem=1008/1780 MB
[INFO] [1776169168.553852519] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.4 ms | preprocess=4.1 ms | infer=126.5 ms | post=37.7 ms | fps_avg=5.94 | fps_out=5.81 | last_total=169.1 ms | last_infer=127.0 ms | processed=1396 | rgb_rx=1469 | tir_rx=1486 | dropped=159 | cuda_mem=1008/1780 MB
[INFO] [1776169173.682295967] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.3 ms | preprocess=4.1 ms | infer=126.4 ms | post=37.9 ms | fps_avg=5.94 | fps_out=5.85 | last_total=168.3 ms | last_infer=126.1 ms | processed=1426 | rgb_rx=1500 | tir_rx=1517 | dropped=161 | cuda_mem=1008/1780 MB
[INFO] [1776169178.683416178] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.1 ms | preprocess=4.1 ms | infer=126.2 ms | post=37.9 ms | fps_avg=5.95 | fps_out=5.80 | last_total=167.9 ms | last_infer=126.5 ms | processed=1455 | rgb_rx=1532 | tir_rx=1549 | dropped=167 | cuda_mem=1008/1780 MB
[INFO] [1776169183.738316434] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.3 ms | preprocess=4.1 ms | infer=126.3 ms | post=38.0 ms | fps_avg=5.94 | fps_out=5.74 | last_total=168.7 ms | last_infer=126.5 ms | processed=1484 | rgb_rx=1564 | tir_rx=1581 | dropped=173 | cuda_mem=1008/1780 MB
[INFO] [1776169188.847402916] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.3 ms | preprocess=4.1 ms | infer=126.4 ms | post=37.8 ms | fps_avg=5.94 | fps_out=5.87 | last_total=168.4 ms | last_infer=126.4 ms | processed=1514 | rgb_rx=1595 | tir_rx=1612 | dropped=175 | cuda_mem=1008/1780 MB
[INFO] [1776169193.933350867] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.2 ms | preprocess=4.1 ms | infer=125.4 ms | post=37.7 ms | fps_avg=5.98 | fps_out=5.90 | last_total=165.8 ms | last_infer=124.3 ms | processed=1544 | rgb_rx=1626 | tir_rx=1643 | dropped=177 | cuda_mem=1008/1780 MB
[INFO] [1776169199.051074285] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=166.6 ms | preprocess=4.1 ms | infer=124.9 ms | post=37.6 ms | fps_avg=6.00 | fps_out=5.86 | last_total=166.3 ms | last_infer=124.8 ms | processed=1574 | rgb_rx=1657 | tir_rx=1674 | dropped=179 | cuda_mem=1008/1780 MB
[INFO] [1776169204.089590532] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.5 ms | preprocess=4.1 ms | infer=125.7 ms | post=37.6 ms | fps_avg=5.97 | fps_out=5.76 | last_total=168.5 ms | last_infer=127.2 ms | processed=1603 | rgb_rx=1690 | tir_rx=1707 | dropped=187 | cuda_mem=1008/1780 MB
